timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
23,E13,24,113.9354839,12.51612903,0.116614284,779.4193548,2324.419355,0.338748476,1555,E
23,E14,25,24.03225806,3.419354839,0.152020366,295.516129,935.6129032,0.318994411,1465,E
23,E16,1,44.09677419,7.064516129,0.160405856,565.7741935,1328.290323,0.433861959,3903,E
23,E17,7,47.48387097,8.451612903,0.181041216,503.1612903,1255.387097,0.408762996,1882,E
23,P01,11,75.61290323,10.32258065,0.137513475,699.6451613,2291.967742,0.317324945,2790,P
23,P02,13,68.38709677,10.87096774,0.164812647,583.8387097,1753.096774,0.338804461,1850,P
23,P03,2,54.83870968,8.741935484,0.165253187,776.8064516,1658.516129,0.474311153,5000,P
23,P04,3,63.90322581,11.5483871,0.179355561,685.7096774,1614.322581,0.43325243,1910,P
23,P05,4,71.32258065,11.06451613,0.161633398,808.8064516,1931.516129,0.427346258,3500,P
23,P06,5,63.19354839,11.19354839,0.177621975,840.3548387,2512.677419,0.342593558,3634,P
23,P07,6,49.16129032,8.64516129,0.180249558,611.4516129,1473.935484,0.422733114,1907,P
23,P08,8,68.64516129,16.09677419,0.237917936,931.516129,2087.612903,0.458534667,5991,P
23,P09,9,123.483871,26.38709677,0.21443453,958.9032258,2174.709677,0.446213203,4624,P
24,E01,10,31.68965517,3.103448276,0.111482432,270.1,740.9,0.365672763,800,E
24,E02,12,34.37931034,5.586206897,0.163085634,418.3666667,1008.466667,0.4233099,1375,E
24,E03,14,28.24137931,4.517241379,0.167463456,353.9,942.3666667,0.38052413,1507,E
24,E04,15,84.37931034,16.5862069,0.202369308,655.8,1498.766667,0.446495348,2118,E
24,E05,16,17.20689655,3.206896552,0.200482109,249.0666667,658.8333333,0.382358981,1300,E
24,E06,17,39.13793103,8,0.210684754,483,1287.166667,0.380644396,1658,E
24,E07,18,24.24137931,3.068965517,0.118788302,291.5666667,766.7333333,0.368148728,1291,E
24,E08,19,41.51724138,7.827586207,0.187340991,620.2,1977.633333,0.322585797,1740,E
24,E09,20,19.86206897,3.689655172,0.202629361,286.3333333,749.0333333,0.385717671,1194,E
24,E10,21,32.75862069,5.793103448,0.18451884,270.6666667,750.1,0.351059776,1194,E
24,E11,22,44.20689655,8.75862069,0.212065491,380.9666667,1022.1,0.363370853,1580,E
24,E12,23,53.5862069,8.275862069,0.154261851,548.3333333,1334,0.414145562,2096,E
24,E13,24,118.9310345,15.44827586,0.133992119,859,2406.7,0.346532898,1555,E
24,E14,25,27.68965517,4.517241379,0.167640174,362.7666667,1085.5,0.326376174,1465,E
24,E16,1,50.5862069,9.275862069,0.185870709,744.7666667,1694.666667,0.436969322,3903,E
24,E17,7,48.65517241,9.965517241,0.209443588,621.4333333,1522.2,0.419942304,1882,E
24,P01,11,75.17241379,12.86206897,0.181811646,830.9333333,2518.166667,0.331211387,2790,P
24,P02,13,75.86206897,15.03448276,0.200813817,691.3666667,1960.3,0.347848827,1850,P
24,P03,2,59.13793103,11.51724138,0.205646157,906.1,1910.833333,0.465093361,5000,P
24,P04,3,69.82758621,14.93103448,0.213720867,832.2,1910.933333,0.428401466,1910,P
24,P05,4,74.24137931,12.10344828,0.168825225,971.8,2297,0.431544719,3500,P
24,P06,5,65.65517241,13.96551724,0.214058471,996.9333333,2880.7,0.34361024,3634,P
24,P07,6,54.51724138,10.82758621,0.206300279,723.6,1666,0.426482809,1907,P
24,P08,8,67.68965517,16.96551724,0.25598438,1079.3,2365.5,0.470517928,5991,P
24,P09,9,119.2413793,27.79310345,0.239712577,1070.133333,2340.233333,0.447439299,4624,P
25,E01,10,38.2,4.9,0.134868546,332.2258065,861.0322581,0.389793027,800,E
25,E02,12,46.9,9.6,0.209005423,536.1290323,1228.806452,0.442959105,1375,E
25,E03,14,33.73333333,6.7,0.207115898,429.7419355,1080.032258,0.403231575,1507,E
